text_a,text_b,label
Hundreds fall sick in Bangladesh factory,Des conditions de travail précaires provoquent des grèves au Bangladesh.,1
The couple danced in the church.,Les mariés ont échangé leurs vœux à la cathédrale.,1
Japan Airlines orders 31 Airbus A350s valued at $9.5 bn,Les températures estivales peuvent atteindre jusqu'à 35 degrés Celsius dans le sud de la France.,0
Tens of Thousands of Ukrainians Protest in Kyiv,Des milliers d'Ukrainiens manifestent à Kiev,4
Security lights have also been installed and police have swept the grounds for booby traps.,Des éclairages de sécurité ont également été mis en place et les forces de l'ordre ont inspecté le terrain à la recherche d'engins piégés.,4
experts stated that the rods could produce 3-6 atomic bombs in 6-8 months.,des spécialistes ont affirmé que les barres pourraient produire entre trois et six bombes nucléaires en six à huit mois.,4
lavrov has told us secretary of state condoleezza rice that russia remains open to dialogue. ,Le ministre russe des Affaires étrangères a exprimé son intérêt pour la poursuite des discussions avec les États-Unis.,1
The flamboyant entrepreneur flagged the plan after a meeting in London with Australian Tourism Minister Joe Hockey.,L'entrepreneur excentrique a rejeté le projet après une réunion à Paris avec le ministre français du Tourisme.,3
Malawi confirms President Mutharika's death,Le Malawi confirme la mort du président Mutharika.,5
Two homeless young men holding a cardboard sign.,La recette nécessite deux tasses de farine et un œuf.,0
A soccer player is kicking the soccer ball into the goal from a long way down the field.,Un joueur de football dribble le ballon près du milieu de terrain.,3
I wood have at least asked if a threesome was out of the question.,J'aurais au minimum posé la question de savoir si un ménage à trois était envisageable.,2
Many dead as asylum boat sinks off Australia,Plusieurs morts alors qu'un bateau de réfugiés coule au large de l'Australie,4
Japan Airlines orders 31 Airbus A350s valued at $9.5 bn,"Air France commande 29 Airbus A330 pour une valeur de 8,7 milliards de dollars.",4
The lady sliced a tomatoe.,Elle a préparé une salade avec des tomates fraîches.,1
Two hikers stand at the top of a snowy mountain.,Des alpinistes se préparent à escalader une montagne glacée.,1
"Allegiant shares rose $4, or $17.2 percent, to $27.43 in Thursday morning trading on the Nasdaq Stock Market.","Les actions d'Allegiant ont augmenté de 3 dollars, soit de 15,5 pourcent, atteignant 26,50 dollars lors des échanges de mercredi mat",3
Security lights have also been installed and police have swept the grounds for booby traps.,Les autorités ont renforcé la surveillance dans le secteur et des équipes cynophiles ont été déployées pour détecter d'éventuels explosifs.,1
A plane being readied for take-off.,Un train se prépare à partir.,3
A man is striking clay pots.,Un homme frappe des vases en argile.,4
Malawi confirms President Mutharika's death,La nation du Malawi est en deuil après l'annonce du décès de son président.,1
The dog carrying a long stick in its mouth.,Le chien joue avec son jouet préféré dans le jardin.,1
"Daniels said he doesn't know what Bush will have to say about him at tonight's $2,000-per-person presidential fund-raiser.","Lors de la collecte de fonds présidentielle de ce soir, qui coûte 2 000 dollars par personne, Bush pourrait aborder plusieurs sujets d'actualité.",2
The company didn't detail the costs of the replacement and repairs.,Les dépenses de maintenance ont augmenté par rapport à l'année dernière.,1
A boy is sitting in a room playing a piano by lamp light.,Les arbres perdent leurs feuilles en automne.,0
"Egypt's military takes control over Muslim Brotherhood, supporters",L'armée égyptienne prend le pouvoir et interdit les Frères musulmans.,3
Qatar's emir hands power to his son,La recette de la tarte aux pommes nécessite des pommes fraîches et de la cannelle.,0
"After 26 hours of surgery and a year of anticipation, the boys were separated Sunday at Children's Medical Center of Dallas.",L'opération pour séparer les jumeaux siamois a été un succès remarquable à l'hôpital pour enfants de Dallas.,1
Two birds flying towards water feeder.,Deux oiseaux se dirigent vers une mare.,2
"Another 152,054 are from IP services company NTT/Verio, and 129,378 from InfoSpace, the survey found.","Encore 153 000 proviennent de la société de services IP NTT/Verio, et 130 000 de InfoSpace, selon l'enquête.",4
Russia delivers humanitarian aid to Syrian refugees in Lebanon,Les pommes de terre sont cultivées dans de nombreuses régions de France.,0
You want others to decide over a woman body.,Vous voulez que les autres décident pour le corps de l'homme.,3
Egypt court sentences 10 Brotherhood supporters to death - sources,La justice égyptienne a condamné plusieurs membres des Frères musulmans à de lourdes peines de prison.,1
"""He really left us with a smile on his face and no last words ... He gave us each a kiss and that was it,"" she said.","Les températures devraient atteindre 30 degrés Celsius cet après-midi, selon les prévisions météorologiques.",0
His dissent was joined by Chief Justice William H. Rehnquist and Justice Clarence Thomas.,Son désaccord a été rejoint par le juge Thomas.,3
Man rowing a boat.,Une femme navigue en kayak.,2
A badger is digging in the dirt.,Un renard fouille dans la terre.,3
"Daniels said he doesn't know what Bush will have to say about him at tonight's $2,000-per-person presidential fund-raiser.",Daniels a mentionné qu'il ignore ce que Bush dira lors de la collecte de fonds présidentielle de ce soir.,3
my final word: ignoring has the effect of normalizing.,ma conclusion : l'ignorance est une forme d'acceptation.,3
Snowden's father arrives in Moscow,La tarte aux pommes est délicieuse avec une boule de glace à la vanille.,0
"Excluding one-time items, it expects profit of 11 cents to 15 cents a share.","Hors éléments exceptionnels, il prévoit un bénéfice de 11 cents à 15 cents par action.",5
Negotiators said Friday they made progress during their latest round of free-trade negotiations between the United States and five Central American countries this week in Houston.,Le traité de libre-échange entre les États-Unis et plusieurs pays d'Amérique Centrale continue de susciter des débats animés parmi les économistes,1
Second day of Egyptian presidential election,Deuxième journée des élections présidentielles en Égypte,4
Dog running towards camera with a ball in its mouth.,Un chien joue avec son jouet préféré dans le parc.,1
French gunman wants to 'die with weapons in hands',L'homme armé français souhaite mourir au combat.,2
Islam has always been political.,Le printemps est la saison où les fleurs commencent à éclore.,0
the south african government imposed a ban that prohibits the recruitment of people inside or outside of south africa for mercenary or foreign military assistance. ,La législation sud-africaine interdit formellement la participation de ses citoyens à des activités mercenaires à l'étranger.,1
Trailblazing Israeli electric car company Better Place to fold,"La société innovante Better Place, spécialisée dans les voitures électriques, annonce sa fermeture.",2
"""Right from the beginning, we didn't want to see anyone take a cut in pay.","Dès le départ, notre objectif était de préserver les salaires de tous les employés.",1
"Two dead, nine hurt in French building collapse","Deux morts, huit blessés dans l'effondrement d'un immeuble en France",4
"Allegiant shares rose $4, or $17.2 percent, to $27.43 in Thursday morning trading on the Nasdaq Stock Market.","La Bourse de Paris a enregistré une hausse significative, poussée par le dynamisme des actions dans le secteur technologique.",1
James Murdoch quits role at BSkyB,James Murdoch démissionne de son poste chez News Corp,3
A domestic animal stands in a pen.,Le soleil brille sur la plage en été.,0
Security lights have also been installed and police have swept the grounds for booby traps.,Des caméras de surveillance ont été mises en place et des patrouilles régulières sont effectuées pour garantir la sécurité de la zone.,1
"""He really left us with a smile on his face and no last words ... He gave us each a kiss and that was it,"" she said.","Il nous a vraiment quittés avec un sourire, sans un mot de plus. Il nous a simplement regardés, et c'était tout, dit-elle.",3
Rouhani leads in initial Iran count,Rouhani est en tête dans les premiers dépouillements en Iran.,4
Kerry vows progress after latest intensive Mideast trip,Kerry promet des progrès après son dernier voyage intensif au Moyen-Orient.,5
"Deaf NY Starbucks patrons sue, say they're mocked","Des clients sourds d'un Starbucks à New York intentent un procès, affirmant qu'ils sont ridiculisés.",4
"morals do not exist, so technically nothing can be morally wrong.","la morale n'existe pas, il n'y a donc aucun acte condamnable.",3
James Murdoch quits role at BSkyB,James Murdoch démissionne de son poste chez BSkyB.,4
Chairman of easyJet to step down,Le PDG de Ryanair annonce sa démission.,2
the agreements were signed during iranian majlis (parliament) speaker gholam-ali haddad-adel's visit to cuba.,"Il pleut aujourd'hui, donc je vais devoir reporter mon pique-nique au parc.",0
"Since being drafted into service in 1971, it has racked up a record 45 accidents, with 393 deaths.","Depuis son entrée en service en 1972, il a été impliqué dans 43 accidents, causant la mort de 400 personnes.",4
Islam has always been political.,Le chat dort sur le canapé près de la fenêtre.,0
A badger is digging in the dirt.,Un blaireau creuse dans la terre.,5
Egypt court sentences 10 Brotherhood supporters to death - sources,La justice égyptienne condamne des militants des Frères musulmans à la peine capitale.,1
"Another 152,054 are from IP services company NTT/Verio, and 129,378 from InfoSpace, the survey found.","Une autre partie de 152 054 provient de l'entreprise de services IP NTT/Verio, et 129 378 d'InfoSpace, selon l'enquête.",5
A man is tying his shoe.,Une femme lace ses baskets.,2
"Allegiant shares rose $4, or $17.2 percent, to $27.43 in Thursday morning trading on the Nasdaq Stock Market.","Le marché boursier a connu une fluctuation notable ce jeudi, avec plusieurs entreprises enregistrant des hausses significatives de leurs actions.",1
A woman thinly slices an onion with a large knife.,Une femme coupe une pomme avec un petit couteau.,3
"SARS went on to claim the lives of 44 people in the Toronto area, including two nurses and a doctor.","Le SRAS a touché la région de Toronto, affectant principalement le personnel médical.",3
"Excluding one-time items, it expects profit of 11 cents to 15 cents a share.","Excluant les éléments exceptionnels, il anticipe un bénéfice de 20 à 25 centimes par action.",3
French forces take key Mali town,L'armée française sécurise une position stratégique au Mali.,1
A woman is boiling noodles in water.,Un homme prépare une soupe de légumes dans sa cuisine.,1
A man makes a call on a cell phone.,Un homme passe un appel avec un téléphone portable.,5
Tens of Thousands of Ukrainians Protest in Kyiv,Les cerises sont très populaires pendant l'été en France.,0
"Israeli, Palestinian negotiators meet in Jordan",Les discussions de paix au Moyen-Orient rencontrent de nombreux défis.,1
"Two dead, nine hurt in French building collapse",Deux personnes ont été tuées et neuf autres blessées dans l'effondrement d'un immeuble en France.,2
A man is striking clay pots.,Une femme façonne des vases en céramique.,1
James Murdoch quits role at BSkyB,L'industrie des médias est en constante évolution avec de nouveaux dirigeants prenant la tête des grandes entreprises.,1
"Three dead, 63 hurt as New York buildings collapse","Deux immeubles se sont effondrés à New York, faisant plusieurs blessés.",3
"Several dead, 550 injured in Argentina train crash",Plusieurs morts et environ 560 blessés dans un accident de train en Argentine.,4
We in Britain think differently to Americans.,Les chats dorment en moyenne quinze heures par jour.,0
Suicide attack kills at least 12 in northern Iraq,Attaque à Bagdad fait plusieurs blessés,3
Afghan suicide car bomb kills at least seven: officials,"Un attentat à la voiture piégée en Afghanistan fait trois blessés graves, selon les autorités.",3
Two women watching the street with their bikes to see when they may cross.,Deux hommes observent la circulation depuis le trottoir en attendant de pouvoir traverser.,2
James Murdoch quits role at BSkyB,James Murdoch démissionne de son poste chez BSkyB.,2
"Dean told reporters traveling on his 10-city ""Sleepless Summer"" tour that he considered campaigning in Texas a challenge.","Dean a confié aux journalistes qui l'accompagnaient sur sa tournée de 10 villes, baptisée ",4
"CIA Director George Tenet said the two men were ""defined by dedication and courage.""",Les agents secrets font souvent preuve d'un engagement et d'un courage remarquables dans l'exercice de leurs fonctions.,1
Two dogs are wrestling on the ground in the snow.,Les enfants jouent avec leur chien dans le parc enneigé.,1
"SEC Chairman William Donaldson said there is a ""building confidence out there that the cop is on the beat.""","Le ciel est clair aujourd'hui, parfait pour une longue promenade dans le parc.",0
Suicide attack kills at least 12 in northern Iraq,"Des affrontements violents se sont produits à Mossoul, faisant plusieurs blessés.",1
A woman is sewing on a machine.,Un homme travaille sur une machine.,3
The manufacturer has to convince the government it's safe.,Le gouvernement doit approuver la sécurité du produit avant sa mise sur le marché.,1
Group of horses grazing in grassy field.,Un troupeau de vaches paît tranquillement dans une prairie verdoyante.,2
You want others to decide over a woman body.,Le ciel est clair et les étoiles brillent ce soir.,0
Japan Airlines orders 31 Airbus A350s valued at $9.5 bn,La tarte aux pommes est un dessert traditionnel très apprécié en France.,0
Security lights have also been installed and police have swept the grounds for booby traps.,Des lumières de sécurité ont également été installées et la police a fouillé le terrain à la recherche de pièges.,5
Kerry vows progress after latest intensive Mideast trip,Les cerises mûrissent rapidement en été.,0
Mali's Tuareg rebels declare independence,Les chats dorment souvent jusqu'à 16 heures par jour.,0
Salvador Dali painting snatched from New York gallery,Tableau de Salvador Dali volé dans une galerie parisienne.,4
The woman is frying a breaded pork chop.,La femme cuit un steak au four.,3
"LendingTree shares rose 43 percent, or $6.31, to $21, more than doubling in the last two months.","Les actions de LendingTree ont augmenté de 43 pour cent, soit 6,31 dollars, atteignant 21 dollars, plus que doublé au cours des deux derniers mois",5
A young woman in a pink hoodie takes a picture.,Une femme âgée en manteau bleu prend une photo.,3
"Dean told reporters traveling on his 10-city ""Sleepless Summer"" tour that he considered campaigning in Texas a challenge.","Dean a confié aux journalistes qui l'accompagnaient sur sa tournée de 12 villes, baptisée ",4
The tan and white dog is running in the field.,Le chien blanc et marron court dans le pré.,4
A dog in in a car.,Un chat est dans un train.,3
A brown dog is walking on the grass.,Le ciel est clair et les étoiles brillent ce soir.,0
A hockey player is laying on the ice in front of the goal.,Les supporters encouragent bruyamment leur équipe préférée lors du match de hockey.,1
Factories that ran on Korean cooperation go silent,Le chat noir dort paisiblement sous le vieux chêne.,0
British gold rush silences gripes over cost,La ruée vers l'or en Australie occulte les plaintes concernant les dépenses.,3
"Israeli, Palestinian negotiators meet in Jordan",Les discussions de paix au Moyen-Orient continuent d'attirer l'attention internationale.,1
The woman is frying a breaded pork chop.,Le chat dort sur le canapé.,0
The findings were published in the July 1 issue of the Annals of Internal Medicine.,Les résultats ont été diffusés dans l'édition de juillet des Archives de Médecine Interne.,2
"Daniels said he doesn't know what Bush will have to say about him at tonight's $2,000-per-person presidential fund-raiser.",L'événement de collecte de fonds pour la campagne présidentielle de ce soir coûtera 2 000 dollars par personne.,1
A man is playing his guitar.,Une femme chante dans un micro.,1
"Allegiant shares rose $4, or $17.2 percent, to $27.43 in Thursday morning trading on the Nasdaq Stock Market.","Les actions d'Allegiant ont augmenté de 4 dollars, soit 17,2 %, atteignant 27,43 dollars lors des échanges du jeudi matin sur le",5
French gunman wants to 'die with weapons in hands',L'homme armé français souhaite se rendre à la police.,3
At least 18 killed in Afghan bomb attacks: officials,Au moins 18 personnes tuées dans des attentats à la bombe en Afghanistan : des responsables,5
Mali's Tuareg rebels declare independence,Les rebelles au Mali ont annoncé un cessez-le-feu.,3
A black poodle plays in the snow.,Un caniche noir s'amuse dans la neige.,4
A black poodle plays in the snow.,Des enfants lancent des boules de neige dans le parc.,1
A group of river barges with trees in the background.,Un ensemble de péniches fluviales avec des arbustes en arrière-plan.,4
A dog is biting a mop.,Un chien mord un balai.,5
Russian parliament to consider ban on U.S. adoptions,Le gouvernement russe envisage des restrictions sur les adoptions internationales.,2
Two dogs are wrestling on the ground in the snow.,Deux chiens jouent à se battre dans la neige.,4
Egypt court sentences 10 Brotherhood supporters to death - sources,La justice égyptienne condamne 10 partisans des Frères musulmans à la peine de mort - sources,5
Justice Adly Mansour sworn in as Egypt interim president,Le Caire accueille Adly Mansour comme président provisoire de l'Égypte.,2
VeriSign introduced its Site Finder service on Sept. 15.,VeriSign a lancé son service Site Finder le 15 septembre.,5
James Murdoch quits role at BSkyB,Le chat dort paisiblement sur le canapé.,0
A man is showing his dog to the camera.,Des enfants jouent avec leur chien dans le parc.,1
This is a black and white picture of a short squat Coca-cola bottle.,Les bouteilles en verre de Coca-Cola sont souvent recyclées pour en faire des vases décoratifs.,1
"morals do not exist, so technically nothing can be morally wrong.","Il pleut aujourd'hui, donc je vais prendre mon parapluie.",0
French forces take key Mali town,Les forces françaises s'emparent d'une ville clé au Mali.,5
"Several dead, 550 injured in Argentina train crash","Plusieurs blessés dans un accident de train en Argentine, les détails sur les victimes ne sont pas précisés.",3
the legislation is the most recent effort by japan to ascribe more freedom to its tightly controlled military and would overturn a ban on the military use of space. ,"La nouvelle loi japonaise vise à étendre les capacités militaires dans l'espace, malgré les restrictions antérieures.",1
alto huallaga is located northeast of the capital lima. ,La ville de Lima est la capitale du Pérou et se trouve sur la côte ouest du pays.,1
Spain princess testifies in historic fraud probe,La princesse espagnole témoigne dans une enquête historique sur la fraude.,4
French gunman wants to 'die with weapons in hands',Le tireur français veut ,5
"Deaf NY Starbucks patrons sue, say they're mocked","Des clients sourds d'un Starbucks à New York portent plainte, affirmant qu'ils sont moqués.",5
The news also comes in conjunction with Suns annual JavaOne developers conference in San Francisco.,Les nouvelles arrivent également en conjonction avec la conférence annuelle des développeurs JavaOne de Suns à San Francisco.,5
"Three dead, 63 hurt as New York buildings collapse",Trois personnes ont perdu la vie et plusieurs autres ont été blessées lors de l'effondrement de bâtiments à New York.,2
"But butterflies housed under an earlier light cycle, 1 a.m. to 1 p.m., flew toward the southeast.","Mais les papillons logés sous un cycle lumineux précoce, de 2 h à 14 h, se dirigeaient vers le sud-est.",4
A black cow and a brown cow standing in front of a small copse of trees in a field.,"Deux vaches, une noire et une marron, paissent tranquillement près d'un petit bois.",2
Umm the California was a cargo ship I dont care what the article says.,"Euh, le Californie était un navire de passagers, peu importe ce que dit l'article.",3
"LendingTree shares rose 43 percent, or $6.31, to $21, more than doubling in the last two months.",Le chat dort paisiblement sous le rayon du soleil d'après-midi.,0
the cfe is 1 of several issues negatively impacting russia's relations with the united states and europe. ,Le traité CFE est l'un des multiples accords influençant positivement les relations entre la Russie et l'Union européenne.,3
What conviction would that be?,Quelles sont les charges retenues contre lui ?,1
Ballmer has been vocal in the past warning that Linux is a threat to Microsoft.,Ballmer a souvent exprimé par le passé que Linux représente une menace pour Microsoft.,5
Turkish authorities have said all the suicide bombers were Turks.,La police turque a arrêté plusieurs suspects après l'attaque.,1
Tens of Thousands of Ukrainians Protest in Kyiv,Les manifestations à Kyiv ont rassemblé une foule immense contre les politiques gouvernementales.,1
Group of horses grazing in grassy field.,Troupeau de chevaux broutant dans un pré verdoyant.,4
Trains inside an indoor station.,Des gens attendent le prochain métro sur le quai de la station.,2
They're looking at each other!,Ils se parlent en souriant.,1
"LendingTree shares rose 43 percent, or $6.31, to $21, more than doubling in the last two months.","Les actions de LendingTree ont augmenté de 43 pourcent, soit de 6,31 $, atteignant 21 $, plus que doublant au cours des deux derniers",5
A man is tying his shoe.,Un homme lace ses chaussures.,4
lavrov has told us secretary of state condoleezza rice that russia remains open to dialogue. ,Lavrov a informé le ministre britannique des affaires étrangères que la Russie reste fermée au dialogue.,3
"After posting $3 million bail, Jackson flew to Las Vegas, where he had been working on a video.","Le soleil se lève tôt en été, illuminant les champs de tournesols en Provence.",0
"Three dead, 63 hurt as New York buildings collapse",Trois personnes ont perdu la vie et plusieurs blessés dans l'effondrement d'immeubles à New York.,2
A boy rode his bike on top of a metal fence.,Le chat dort sous la table de la cuisine.,0
Florida counties extend early voting,Les pommes sont très populaires en automne en France.,0
Semiconductor giant Intel Corp. said yesterday that its second-quarter profits doubled from a year ago as stronger-than-expected demand for computer microprocessors offset the weakness of its communications chip business.,"La société Intel a annoncé hier une augmentation significative de ses bénéfices au deuxième trimestre, attribuée à une forte demande pour ses microprocesseurs, malgré les",2
A cat is licking a small bottle.,Un chat boit du lait dans une petite tasse.,2
Rouhani leads in initial Iran count,Rouhani est en tête dans le décompte initial en Iran.,5
The couple danced in the church.,Le couple a dansé dans l'église.,5
"The Dow Jones industrial average .DJI rose 18.25 points, or 0.19 percent, to 9,586.71.","Les marchés boursiers ont affiché une légère hausse ce matin, reflétant un optimisme prudent des investisseurs.",1
Karzai to visit Pakistan for Taliban peace talks,Karzai se rendra au Pakistan pour discuter de la paix avec les Talibans.,4
A person pours oil on a skillet.,Un individu ajoute du beurre dans une poêle.,2
Crimean Parliament Votes to Join Russia,Le chat dort paisiblement sous le soleil du matin.,0
"The stock had risen 63 cents, or 3 percent, to close at $20.26 in regular-session Nasdaq trading.","L'action a augmenté de 63 cents, soit 3 pour cent, pour clôturer à 20,26 dollars lors des échanges en séance régulière au Nasdaq.",5
"The stock had risen 63 cents, or 3 percent, to close at $20.26 in regular-session Nasdaq trading.",Le ciel était clair et les étoiles brillaient vives cette nuit-là.,0
The couple danced in the church.,Les mariés ont échangé leurs vœux dans la cathédrale.,1
Snowden's father arrives in Moscow,L'aéroport de Moscou connaît une activité accrue ces derniers temps.,1
A boy rode his bike on top of a metal fence.,Un garçon a fait du skateboard le long d'une clôture en bois.,2
"Daniels said he doesn't know what Bush will have to say about him at tonight's $2,000-per-person presidential fund-raiser.",Daniels a mentionné qu'il ignore les propos de Bush lors du dîner de charité de ce soir.,3
A domestic animal stands in a pen.,Un animal sauvage se trouve dans la forêt.,3
Pro-choice people do not try to force an abortion on anyone.,Les militants pro-choix défendent le droit de choisir librement en matière de grossesse.,1
A woman slices a fish.,Le soleil brille sur la ville ce matin.,0
Hundreds fall sick in Bangladesh factory,Des dizaines tombent malades dans une usine en Inde,3
Romney announces Paul Ryan as running mate,Paul Ryan participe à la campagne en tant que colistier de Romney.,2
A group of river barges with trees in the background.,Un ensemble de péniches sur la rivière avec des forêts à l'arrière-plan.,4
The flamboyant entrepreneur flagged the plan after a meeting in London with Australian Tourism Minister Joe Hockey.,L'investisseur audacieux a discuté de nouvelles stratégies touristiques avec le ministre australien à Sydney.,1
Trains inside an indoor station.,Des trains dans une gare couverte.,5
A cruise ship docked at shore.,Un paquebot de croisière a accosté au port.,4
Pakistan Dismisses Case against FBI Agent,Le Pakistan rejette l'affaire contre l'agent du FBI.,5
"On Wednesday, the total of National Guard and Reserve members called to active duty worldwide stood at 154,603.","Mercredi, le nombre total de membres de la Garde nationale et de la Réserve activés à l'échelle mondiale était de 153 000.",4
Factories that ran on Korean cooperation go silent,Les usines soutenues par des investissements sud-coréens cessent progressivement leurs activités.,1
President Obama reveals plans to withdraw troops from Afghanistan by 2016,Le président Obama annonce son intention de réduire les effectifs militaires en Irak d'ici 2016.,3
Malawi confirms President Mutharika's death,Le Malawi annonce le décès du président Mutharika.,4
Ballmer has been vocal in the past warning that Linux is a threat to Microsoft.,Ballmer a souvent exprimé que Linux pourrait défier Microsoft à l'avenir.,3
Man rowing a boat.,Les pommes sont mûres en automne.,0
Qatar's emir hands power to his son,Les pommes rouges sont tombées de l'arbre dans mon jardin.,0
A boy is sitting in a room playing a piano by lamp light.,"La recette de la tarte aux pommes nécessite quatre pommes, de la cannelle et de la pâte brisée.",0
"Kenyan police arrest key Al-Shabaab recruiter, financier",La police kenyane a arrêté un important membre d'Al-Shabaab.,3
S. Sudan accuses Sudan of bombing in blow to talks,Les discussions de paix entre le Soudan et le Soudan du Sud sont de nouveau en péril suite à des tensions récentes.,1
A man is striking clay pots.,Un homme peint des vases en terre cuite.,3
An audiotape aired last week by the Arab al-Jazeera television network may be the strongest evidence yet that Saddam survived the war.,"La recette de la tarte Tatin a été inventée par accident par les sœurs Tatin dans la région de la Loire, en France.",0
Russian parliament to consider ban on U.S. adoptions,Le gouvernement russe envisage des restrictions sur les importations américaines.,2
His dissent was joined by Chief Justice William H. Rehnquist and Justice Clarence Thomas.,Le chat noir dort paisiblement sous le vieux chêne dans le jardin.,0
"Another 152,054 are from IP services company NTT/Verio, and 129,378 from InfoSpace, the survey found.","Les pommes de terre sont cultivées dans de nombreuses régions de France, notamment en Bretagne et en Normandie.",0
the legislation is the most recent effort by japan to ascribe more freedom to its tightly controlled military and would overturn a ban on the military use of space. ,"La nouvelle loi représente la tentative la plus récente du Japon pour accorder plus de liberté à son armée strictement réglementée, et elle annulerait une interdiction",4
"Pro-life also refers to just ""opposition to abortion"".",La législation sur l'avortement varie considérablement d'un pays à l'autre.,1
Qatar's emir hands power to his son,Le prince héritier du Qatar prend la relève du trône.,1
"Obama: Patriot missile batteries, troops to stay in Jordan near Syrian border",Le chat dort paisiblement sur le rebord de la fenêtre ensoleillée.,0
Karzai to visit Pakistan for Taliban peace talks,Karzai se rendra en Inde pour une conférence économique.,3
A small white cat sitting in a sink.,Un grand chien noir dort sur un canapé.,2
Two men are fighting in a cattle pen.,Le ciel est clair et les oiseaux chantent ce matin.,0
Egypt court sentences 10 Brotherhood supporters to death - sources,"Un tribunal égyptien condamne 12 partisans des Frères musulmans à la peine capitale, selon des informateurs.",4
Death toll from Philippines quake rises to 144,Le bilan des morts du séisme aux Philippines monte à 144.,5
Russia delivers humanitarian aid to Syrian refugees in Lebanon,La Russie fournit de l'aide humanitaire aux réfugiés syriens au Liban.,4
"Since being drafted into service in 1971, it has racked up a record 45 accidents, with 393 deaths.","Depuis son incorporation en 1971, il a accumulé un record de 45 accidents, causant 393 morts.",5
Rupert Murdoch: I was the victim of a cover up,Rupert Murdoch a affirmé avoir été trompé par ses collaborateurs.,2
"Israeli, Palestinian negotiators meet in Jordan",Les pommes de terre sont souvent utilisées dans la cuisine française.,0
Trailblazing Israeli electric car company to fold,La France investit dans de nouvelles technologies pour les véhicules électriques.,1
I wood have at least asked if a threesome was out of the question.,Elle a suggéré d'explorer de nouvelles expériences pour pimenter leur relation.,1
"Their contract will expire at 12:01 a.m. Wednesday instead of 12:01 a.m. Sunday, said Rian Wathen, organizing director for United Food and Commercial Workers Local 700.",Les forêts tropicales abritent une incroyable diversité d'espèces animales et végétales.,0
What we know so far about chemical weapons in Syria's civil war,Les conséquences de l'utilisation d'armes chimiques pendant le conflit syrien sont encore étudiées par les experts internationaux.,1
Death toll from Philippines quake rises to 144,Le nombre de victimes du tremblement de terre aux Philippines monte à 200.,3
Malawi confirms President Mutharika's death,Le Malawi annonce le décès du président Mutharika.,2
A black and white spotted dog jumps over a stream.,Un chien tacheté noir et blanc saute par-dessus un ruisseau.,4
Air Force Instructor Faces Sentencing for Rape,Les tomates sont mûres et prêtes à être cueillies dans le jardin.,0
"SEC Chairman William Donaldson said there is a ""building confidence out there that the cop is on the beat.""","Le président de la SEC, William Donaldson, a exprimé son optimisme quant à la confiance croissante du public envers l'autorité de régulation.",2
Chairman of easyJet to step down,Le président de easyJet va démissionner,4
"The Dow Jones industrial average .DJI rose 18.25 points, or 0.19 percent, to 9,586.71.","L'indice Dow Jones .DJI a chuté de 30 points, soit 0.25 pourcent, à 9,550.00.",3
The manufacturer has to convince the government it's safe.,Les autorités doivent évaluer les normes de sécurité du produit.,1
Two homeless young men holding a cardboard sign.,Deux jeunes sans-abri cherchent de l'aide près d'une station de métro.,1
Pakistan Dismisses Case against FBI Agent,La Cour suprême du Pakistan rejette une accusation contre un agent de la CIA.,2
"The stock had risen 63 cents, or 3 percent, to close at $20.26 in regular-session Nasdaq trading.","L'action a augmenté de 50 centimes, soit 2,5 pour cent, pour clôturer à 19,80 euros lors de la séance régulière de la B",3
A woman slices a fish.,Un homme coupe un poulet.,3
VeriSign introduced its Site Finder service on Sept. 15.,"Le 15 septembre, VeriSign a lancé son nouveau service Site Finder.",1
"Allegiant shares rose $4, or $17.2 percent, to $27.43 in Thursday morning trading on the Nasdaq Stock Market.","Les actions de la compagnie Allegiant ont augmenté de 4 dollars, atteignant 27,43 dollars lors des échanges matinaux de jeudi sur le marché Nasdaq.",2
Peter Lyman and Hal Varian of Berkeley's School of Information Management and Systems say that information production has increased by 30 percent each year between 1999 and 2002.,Peter Lyman et Hal Varian de l'École de Gestion et de Systèmes d'Information de Berkeley affirment que la production d'informations a augmenté de ,5
"Excluding one-time items, it expects profit of 11 cents to 15 cents a share.",Le chat noir dort paisiblement sous l'arbre en fleurs.,0
A baby is laughing.,Il pleut aujourd'hui.,0
Labor Department analysts think the payroll statistics from the survey of businesses provide a more accurate picture of the economy because the survey figures are based on a larger sample.,Les analystes du Département du Travail pensent que les statistiques de l'emploi issues de l'enquête auprès des ménages offrent une vision plus précise,3
A small white cat sitting in a sink.,Un grand chien noir dort sous la table.,1
VeriSign introduced its Site Finder service on Sept. 15.,Le service Site Finder a été lancé par VeriSign le 15 septembre.,2
the legislation is the most recent effort by japan to ascribe more freedom to its tightly controlled military and would overturn a ban on the military use of space. ,"la nouvelle loi japonaise propose une utilisation plus libre de l'espace par les forces militaires, modifiant les restrictions précédentes.",2
Declines in US stock market moderate,Les baisses sur le marché boursier américain se stabilisent.,4
Spain princess testifies in historic fraud probe,Le prince d'Espagne témoigne dans une enquête historique sur la fraude.,3
Turkish authorities have said all the suicide bombers were Turks.,Les autorités turques ont déclaré que tous les kamikazes étaient Turcs.,5
A man makes a call on a cell phone.,Un homme passe un coup de téléphone sur son portable.,4
The lady sliced a tomatoe.,La dame a coupé une pomme.,2
